,Unnamed: 0,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,preprocessed_index
176,176,اکتوورکو,merck sante,الیت دارو,آلمان,گلوکوفاژ ایکس آر   قرص پیوسته رهش خوراکی 1000 mg,176
177,177,پور سینا,پور سینا,الیت دارو,ایران,فاموتیدین   قرص خوراکی 40 mg,177
178,178,پور سینا,پور سینا,الیت دارو,ایران,فاموتیدین   قرص خوراکی 40 mg,178
179,179,پارس گیتا دارو,پارس گیتا دارو,الیت دارو,ایران,نوراستور   قرص خوراکی 200 mg/50 mg,179
180,180,اکتوورکو,اکتوورکو,الیت دارو,ایران,گلیستا   قرص خوراکی 100 mg,180
181,181,اکتوورکو,ferrer,الیت دارو,اسپانیا,اکوئین   کرم واژینال 0.625 mg/1g 42.5 g,181
182,182,اکتوورکو,ferrer,الیت دارو,اسپانیا,اکوئین   کرم واژینال 0.625 mg/1g 42.5 g,182
183,183,اکتوورکو,اکتوورکو,الیت دارو,ایران,امپاور پلاس   قرص خوراکی 5 mg/500 mg,183
184,184,اکتوورکو,اکتوورکو,الیت دارو,ایران,لوکسور   کپسول انتریک کوتد خوراکی 20 mg,184
185,185,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,زومیبا   پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 3.5 mg  mg,185
186,186,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,کوریول   قرص خوراکی 12.5 mg,186
187,187,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,انکوزار   پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 200 mg  mg,187
188,188,اکتوورکو,اکتوورکو,الیت دارو,ایران,امپاور پلاس   قرص خوراکی 12.5 mg/500 mg,188
189,189,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,تموزولومید اکتٍ   کپسول خوراکی 250 mg,189
190,190,اکتوورکو,اکتوورکو,الیت دارو,ایران,اپرینسا   قرص خوراکی 50 mg,190
191,191,اکتوورکو,اکتوورکو,الیت دارو,ایران,گلیستا   قرص خوراکی 50 mg,191
192,192,اکتوورکو,اکتوورکو,الیت دارو,ایران,مب اکتو   قرص خوراکی 135 mg,192
193,193,اکتوورکو,اکتوورکو,الیت دارو,ایران,الپرا   قرص خوراکی 1000 mg,193
194,194,اکتوورکو,اکتوورکو,الیت دارو,ایران,الپرا   قرص خوراکی 1000 mg,194
195,195,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوسرک   قرص خوراکی 8 mg,195
196,196,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,ابیراترون اکتِ   قرص خوراکی 250 mg,196
197,197,اکتوورکو,merck serono,الیت دارو,انگلیس,کرینون   ژل واژینال 8 % 1.125 mg,197
198,198,اکتوورکو,merck serono,الیت دارو,انگلیس,کرینون   ژل واژینال 8 % 1.125 mg,198
199,199,اکتوورکو,merck serono,الیت دارو,انگلیس,کرینون   ژل واژینال 8 % 1.125 mg,199
200,200,اکتوورکو,merck serono,الیت دارو,انگلیس,کرینون   ژل واژینال 8 % 1.125 mg,200
201,201,اکتوورکو,اکتوورکو,الیت دارو,ایران,ویتکت   قرص خوراکی 200 mg,201
202,202,اکتوورکو,اکتوورکو,الیت دارو,ایران,ویتکت   قرص خوراکی 200 mg,202
203,203,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,ایماتینیب اکتِ   قرص خوراکی 100 mg,203
204,204,الحاوی,الحاوی,الیت دارو,ایران,پاراکید   سوسپانسیون خوراکی 120 mg/5ml 120 ml,204
205,205,الحاوی,الحاوی,الیت دارو,ایران,پاراکید   سوسپانسیون خوراکی 120 mg/5ml 120 ml,205
206,206,الحاوی,الحاوی,الیت دارو,ایران,پاراکید   سوسپانسیون خوراکی 120 mg/5ml 120 ml,206
207,207,اکتوورکو,اکتوورکو,الیت دارو,ایران,ریتوکسی ور   تزریقی پرنترال 10 mg/1ml 10 ml,207
208,208,اکتوورکو,rubio,الیت دارو,اسپانیا,کوپریپن   کپسول خوراکی 250 mg,208
209,209,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 50 mg,209
